"IP","Date","Time","Accepted cookies","Device type","Browser language","Browser name","OS Name","Country","Region","RegionName","City","Zipcode","Lat","Lon"
49.36.83.154,2024-01-11,03:49:53 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-11,05:18:12 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-11,06:30:24 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-12,06:24:19 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-12,06:59:57 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-12,07:08:02 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-12,07:20:33 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-12,08:35:48 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-12,10:11:02 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-18,03:54:24 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-22,04:17:18 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-22,10:17:01 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-02-29,06:01:48 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-02-29,06:20:49 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-02-29,06:57:08 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-02-29,06:58:54 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-02-29,06:59:15 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-02-29,07:03:32 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-02-29,07:10:12 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-02-29,07:42:30 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-03-05,16:26:57 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-03-05,17:08:49 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-03-06,11:18:46 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-03-10,16:21:26 UTC,["necessary"],mobile,en,Chrome,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-03-12,07:21:21 UTC,["necessary"],mobile,en,Chrome,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-03-13,07:46:25 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
